genotype,plate,gompertz_mu_max,gompertz_doubling_time,gompertz_carrying_capacity,gompertz_lag_time,gompertz_r2
b2169,Plate 57 Trial 2,0.650236767,1.065991983,1.888923111,0.399244249,0.99647326
b2211,Plate 57 Trial 2,0.515754189,1.343948716,1.709566517,0.211482398,0.99248427
b2223,Plate 57 Trial 2,0.646219379,1.072618994,1.878624841,0.426853287,0.993968754
b2306,Plate 57 Trial 2,0.528194374,1.312295653,1.868888218,0.40828561,0.996813478
b2309,Plate 57 Trial 2,0.520547766,1.331572673,1.785361329,0.130810055,0.995223328
b2365,Plate 57 Trial 2,0.592275525,1.170312045,1.74878984,0.63107677,0.996909262
b2383,Plate 57 Trial 2,0.500640349,1.384521208,1.610912435,0.199953307,0.994557232
b2392,Plate 57 Trial 2,-5.90E-12,-1.18E+11,-8.92E-33,0.999999987,0
b2393,Plate 57 Trial 2,0.576334703,1.202681667,1.806787461,0.380331896,0.99243561
b2413,Plate 57 Trial 2,0.52621816,1.317223983,1.554929089,0.247146684,0.990333109
b2415,Plate 57 Trial 2,0.519527211,1.334188405,1.652377282,0.599001669,0.990817832
b2416,Plate 57 Trial 2,0.556421118,1.245724072,1.769651898,0.237231857,0.994962868
b2417,Plate 57 Trial 2,0.539034458,1.285905141,1.804140615,0.293843988,0.997734777
b2422,Plate 57 Trial 2,0.514656361,1.346815531,1.629627981,0.234428904,0.996619507
b2424,Plate 57 Trial 2,0.510873194,1.3567891,1.526071205,0.181679813,0.996995483
b2425,Plate 57 Trial 2,7.04E-16,9.85E+14,-3.09E-21,0.99649247,0
b2470,Plate 57 Trial 2,0.577334104,1.200599749,1.947513395,0.397995829,0.995363763
b2492,Plate 57 Trial 2,0.651516495,1.06389813,1.704498844,0.392279884,0.993659442
b2493,Plate 57 Trial 2,0.500849161,1.383943979,1.695365314,0.161872285,0.995075406
b2497,Plate 57 Trial 2,0.514284816,1.347788538,1.776684255,0.272165041,0.996098018
b2546,Plate 57 Trial 2,0.001325856,522.7920732,0.029798167,-4.032776356,0.161100795
b2547,Plate 57 Trial 2,0.479787129,1.444697322,1.725996625,0.317204082,0.996569056
b2663,Plate 57 Trial 2,0.537066374,1.29061735,1.594293347,0.322663842,0.993805698
b2677,Plate 57 Trial 2,0.693854967,0.998979921,1.880311309,0.378871158,0.996913193
b2678,Plate 57 Trial 2,0.631953989,1.09683172,1.917581781,0.705625228,0.997328824
b2704,Plate 57 Trial 2,0.624848247,1.109304834,1.691086563,0.359278433,0.992184169
b2715,Plate 57 Trial 2,0.590349077,1.174131047,1.733992,0.26566264,0.993540313
b2740,Plate 57 Trial 2,0.497431035,1.39345383,1.874464309,0.398972511,0.996296591
b2789,Plate 57 Trial 2,0.65240521,1.062448873,1.901047614,0.395918083,0.996213913
b2796,Plate 57 Trial 2,0.493039066,1.40586665,1.631452767,0.443224774,0.996131604
b2801,Plate 57 Trial 2,0.571400752,1.213066622,1.616109846,0.287928168,0.995744159
b2829,Plate 57 Trial 2,0.629634981,1.100871459,1.70258181,0.428224966,0.991834423
b2845,Plate 57 Trial 2,0.697280247,0.99407259,1.761662654,0.442502296,0.991586853
b2882,Plate 57 Trial 2,0.545271737,1.271195871,1.806614861,0.208939025,0.99579054
b2933,Plate 57 Trial 2,0.466518145,1.485788254,1.699408843,0.388321187,0.994686969
b2934,Plate 57 Trial 2,0.615844115,1.125523754,1.811143499,0.367143156,0.994861746
b2987,Plate 57 Trial 2,0.463867603,1.494278057,1.883577294,0.20031071,0.995683654
b3005,Plate 57 Trial 2,0.624767651,1.109447936,1.681226935,0.428847519,0.996123346
b3006,Plate 57 Trial 2,0.614401534,1.128166423,1.753266911,0.530929412,0.996483404
b3093,Plate 57 Trial 2,0.652816747,1.061779103,1.724001476,0.382522222,0.995180695
b3132,Plate 57 Trial 2,0.546936293,1.26732709,1.709476425,0.348749421,0.993960889
b3136,Plate 57 Trial 2,0.56872623,1.218771255,1.702336478,0.336501739,0.991931537
b3137,Plate 57 Trial 2,0.679139035,1.02062633,1.813923042,0.406761256,0.994232606
b3138,Plate 57 Trial 2,0.527697851,1.313530421,1.595425687,0.224233128,0.993338546
b3139,Plate 57 Trial 2,0.189534637,3.657100307,1.181684625,-0.364419035,0.994239762
b3659,Plate 37 Trial 3,0.599553561,1.156105519,1.588070056,0.039994384,0.991392293
b4555,Plate 37 Trial 3,0.689512653,1.005271155,1.717874611,0.117644355,0.992284051
b3665,Plate 37 Trial 3,0.451385048,1.535600667,2.255178185,1.803786482,0.997615235
b3675,Plate 37 Trial 3,0.713546428,0.971411464,1.906505672,0.339522954,0.994798524
b3676,Plate 37 Trial 3,0.011981175,57.85302085,0.012027402,3.562562502,0.727211788
b3677,Plate 37 Trial 3,0.737442748,0.939933551,1.970137049,0.446030547,0.995826979
b3678,Plate 37 Trial 3,0.750893122,0.92309699,1.784097861,0.1986415,0.993880275
