CommonName,bID,GenBankID,OMV.Trial1,OMV.Trial2,OMV.Trial3,OMV.Trial4,OMV.Trial5,average.log.OMV,antilog.OMV.Trial1,antilog.OMV.Trial2,antilog.OMV.Trial3,antilog.OMV.Trial4,antilog.OMV.Trial5,average.antilog.omv,stdev.antilog
purR,b1658,945226,-0.016889088,-0.177560954,NA,NA,NA,-0.097225021,0.96185789,0.664414415,,,,0.813136153,0.210324299
ydhB,b1659,945208,0.142686956,-0.029259878,NA,NA,NA,0.056713539,1.3889511,0.934846103,,,,1.161898601,0.321100723
ydhC,b1660,946077,0.147663551,0.05782505,NA,NA,NA,0.102744301,1.404958677,1.142418034,,,,1.273688356,0.18564427
cfa,b1661,944811,0.024250956,-0.071398087,NA,NA,NA,-0.023573566,1.057428365,0.848402448,,,,0.952915407,0.147803643
mdtK,b1663,945883,0.064228077,0.055873161,NA,NA,NA,0.060050619,1.159386067,1.137295082,,,,1.148340574,0.015620686
ydhQ,b1664,944851,0,-0.080823193,0.005752329,0.011581873,NA,-0.015872248,1,0.830188679,1.013333334,1.027027028,,0.96763726,0.092294339
ydhR,b1667,946177,-0.168497928,-0.077371264,NA,NA,NA,-0.122934596,0.678425357,0.836813612,,,,0.757619485,0.111997409
ydhS,b1668,945786,-0.027969519,0.067953266,NA,NA,NA,0.019991874,0.937627812,1.169373549,,,,1.053500681,0.163868982
ydhT,b1669,945960,-0.0334504,-0.242366805,NA,NA,NA,-0.137908603,0.925869121,0.572312452,,,,0.749090786,0.250002318
ydhU,b1670,945608,-0.185741813,0.201695597,NA,NA,NA,0.007976892,0.652015901,1.591093117,,,,1.121554509,0.664027868
ydhX,b1671,947308,-0.690070908,-0.495492945,NA,NA,NA,-0.592781927,0.204140461,0.319526627,,,,0.261833544,0.08159034
ydhW,b1672,947180,-0.032492221,-0.204187164,NA,NA,NA,-0.118339693,0.927914111,0.624903326,,,,0.776408718,0.214260981
ydhV,b1673,948756,0.028111428,-0.065899287,NA,NA,NA,-0.01889393,1.066869816,0.85921275,,,,0.963041283,0.146835719
ydhY,b1674,948749,-0.355011808,-0.638233472,NA,NA,NA,-0.49662264,0.441558442,0.230020492,,,,0.335789467,0.149579919
ydhZ,b1675,946180,-0.10214254,-0.01014817,NA,NA,NA,-0.056145355,0.790419162,0.97690387,,,,0.883661516,0.131864602
pykF,b1676,946179,-0.217356008,0.028924199,NA,NA,NA,-0.094215905,0.606239168,1.068868305,,,,0.837553736,0.3271282
lpp,b1677,946175,0.343180154,-0.414826961,-0.138820803,NA,NA,-0.07015587,2.20384047,0.384745048,0.726405622,,,1.104997047,0.966837959
